,STATE,LGA,CANDIDATE,PARTY,VOTES
1039,Akwa Ibom,Nsit Ibom,Osakwe Felix Johnson,NRM,34
1040,Akwa Ibom,Nsit Ibom,Abiola Latifu Kolawole,PRP,13
1041,Akwa Ibom,Nsit Ibom,Adebayo Adewole Ebenezer,SDP,9
1042,Akwa Ibom,Nsit Ibom,Ado-Ibrahim Abdulmalik,YPP,413
1043,Akwa Ibom,Nsit Ibom,Nwanyanwu Daniel Daberechukwu,ZLP,416
1044,Akwa Ibom,Nsit Ubium,Tinubu Bola Ahmed,APC,2792
1045,Akwa Ibom,Nsit Ubium,Abubakar Atiku,PDP,11308
1046,Akwa Ibom,Nsit Ubium,Obi Peter Gregory,LP,2329
1047,Akwa Ibom,Nsit Ubium,Musa Mohammed Rabiu Kwankwaso,NNPP,
1048,Akwa Ibom,Nsit Ubium,Kachikwu Dumebi,ADC,
1049,Akwa Ibom,Nsit Ubium,Umeadi Peter Nnanna Chukwudi,APGA,
1050,Akwa Ibom,Nsit Ubium,Sani Yabagi Yusuf,ADP,
1051,Akwa Ibom,Nsit Ubium,Imumolen Irene Christopher,A,
1052,Akwa Ibom,Nsit Ubium,Almustapha Hamza,AA,
1053,Akwa Ibom,Nsit Ubium,Sowore Omoyele Stephen,AAC,
1054,Akwa Ibom,Nsit Ubium,Ojei Princess Chichi,APM,
1055,Akwa Ibom,Nsit Ubium,Nnadi Charles Osita,APP,
1056,Akwa Ibom,Nsit Ubium,Adenuga Sunday Oluwafemi,BP,
1057,Akwa Ibom,Nsit Ubium,Osakwe Felix Johnson,NRM,
1058,Akwa Ibom,Nsit Ubium,Abiola Latifu Kolawole,PRP,
1059,Akwa Ibom,Nsit Ubium,Adebayo Adewole Ebenezer,SDP,
1060,Akwa Ibom,Nsit Ubium,Ado-Ibrahim Abdulmalik,YPP,
1061,Akwa Ibom,Nsit Ubium,Nwanyanwu Daniel Daberechukwu,ZLP,
1062,Akwa Ibom,Obot Akara,Tinubu Bola Ahmed,APC,4477
1063,Akwa Ibom,Obot Akara,Abubakar Atiku,PDP,8029
1064,Akwa Ibom,Obot Akara,Obi Peter Gregory,LP,2542
1065,Akwa Ibom,Obot Akara,Musa Mohammed Rabiu Kwankwaso,NNPP,
1066,Akwa Ibom,Obot Akara,Kachikwu Dumebi,ADC,
1067,Akwa Ibom,Obot Akara,Umeadi Peter Nnanna Chukwudi,APGA,
1068,Akwa Ibom,Obot Akara,Sani Yabagi Yusuf,ADP,
1069,Akwa Ibom,Obot Akara,Imumolen Irene Christopher,A,
1070,Akwa Ibom,Obot Akara,Almustapha Hamza,AA,
1071,Akwa Ibom,Obot Akara,Sowore Omoyele Stephen,AAC,
1072,Akwa Ibom,Obot Akara,Ojei Princess Chichi,APM,
1073,Akwa Ibom,Obot Akara,Nnadi Charles Osita,APP,
1074,Akwa Ibom,Obot Akara,Adenuga Sunday Oluwafemi,BP,
1075,Akwa Ibom,Obot Akara,Osakwe Felix Johnson,NRM,
1076,Akwa Ibom,Obot Akara,Abiola Latifu Kolawole,PRP,
1077,Akwa Ibom,Obot Akara,Adebayo Adewole Ebenezer,SDP,
1078,Akwa Ibom,Obot Akara,Ado-Ibrahim Abdulmalik,YPP,
1079,Akwa Ibom,Obot Akara,Nwanyanwu Daniel Daberechukwu,ZLP,
1080,Akwa Ibom,Okobo,Tinubu Bola Ahmed,APC,3168
1081,Akwa Ibom,Okobo,Abubakar Atiku,PDP,5273
1082,Akwa Ibom,Okobo,Obi Peter Gregory,LP,2490
1083,Akwa Ibom,Okobo,Musa Mohammed Rabiu Kwankwaso,NNPP,
1084,Akwa Ibom,Okobo,Kachikwu Dumebi,ADC,
1085,Akwa Ibom,Okobo,Umeadi Peter Nnanna Chukwudi,APGA,
1086,Akwa Ibom,Okobo,Sani Yabagi Yusuf,ADP,
1087,Akwa Ibom,Okobo,Imumolen Irene Christopher,A,
1088,Akwa Ibom,Okobo,Almustapha Hamza,AA,
1089,Akwa Ibom,Okobo,Sowore Omoyele Stephen,AAC,
1090,Akwa Ibom,Okobo,Ojei Princess Chichi,APM,
1091,Akwa Ibom,Okobo,Nnadi Charles Osita,APP,
1092,Akwa Ibom,Okobo,Adenuga Sunday Oluwafemi,BP,
1093,Akwa Ibom,Okobo,Osakwe Felix Johnson,NRM,
1094,Akwa Ibom,Okobo,Abiola Latifu Kolawole,PRP,
1095,Akwa Ibom,Okobo,Adebayo Adewole Ebenezer,SDP,
1096,Akwa Ibom,Okobo,Ado-Ibrahim Abdulmalik,YPP,
1097,Akwa Ibom,Okobo,Nwanyanwu Daniel Daberechukwu,ZLP,
1098,Akwa Ibom,Onna,Tinubu Bola Ahmed,APC,1396
1099,Akwa Ibom,Onna,Abubakar Atiku,PDP,8741
1100,Akwa Ibom,Onna,Obi Peter Gregory,LP,4745
1101,Akwa Ibom,Onna,Musa Mohammed Rabiu Kwankwaso,NNPP,157
1102,Akwa Ibom,Onna,Kachikwu Dumebi,ADC,46
1103,Akwa Ibom,Onna,Umeadi Peter Nnanna Chukwudi,APGA,15
1104,Akwa Ibom,Onna,Sani Yabagi Yusuf,ADP,18
1105,Akwa Ibom,Onna,Imumolen Irene Christopher,A,26
1106,Akwa Ibom,Onna,Almustapha Hamza,AA,14
1107,Akwa Ibom,Onna,Sowore Omoyele Stephen,AAC,22
1108,Akwa Ibom,Onna,Ojei Princess Chichi,APM,23
1109,Akwa Ibom,Onna,Nnadi Charles Osita,APP,14
1110,Akwa Ibom,Onna,Adenuga Sunday Oluwafemi,BP,15
1111,Akwa Ibom,Onna,Osakwe Felix Johnson,NRM,29
1112,Akwa Ibom,Onna,Abiola Latifu Kolawole,PRP,15
1113,Akwa Ibom,Onna,Adebayo Adewole Ebenezer,SDP,17
1114,Akwa Ibom,Onna,Ado-Ibrahim Abdulmalik,YPP,834
1115,Akwa Ibom,Onna,Nwanyanwu Daniel Daberechukwu,ZLP,154
1116,Akwa Ibom,Oron,Tinubu Bola Ahmed,APC,2443
1117,Akwa Ibom,Oron,Abubakar Atiku,PDP,3295
1118,Akwa Ibom,Oron,Obi Peter Gregory,LP,3033
1119,Akwa Ibom,Oron,Musa Mohammed Rabiu Kwankwaso,NNPP,
1120,Akwa Ibom,Oron,Kachikwu Dumebi,ADC,
1121,Akwa Ibom,Oron,Umeadi Peter Nnanna Chukwudi,APGA,
1122,Akwa Ibom,Oron,Sani Yabagi Yusuf,ADP,
1123,Akwa Ibom,Oron,Imumolen Irene Christopher,A,
1124,Akwa Ibom,Oron,Almustapha Hamza,AA,
1125,Akwa Ibom,Oron,Sowore Omoyele Stephen,AAC,
1126,Akwa Ibom,Oron,Ojei Princess Chichi,APM,
1127,Akwa Ibom,Oron,Nnadi Charles Osita,APP,
1128,Akwa Ibom,Oron,Adenuga Sunday Oluwafemi,BP,
1129,Akwa Ibom,Oron,Osakwe Felix Johnson,NRM,
1130,Akwa Ibom,Oron,Abiola Latifu Kolawole,PRP,
1131,Akwa Ibom,Oron,Adebayo Adewole Ebenezer,SDP,
1132,Akwa Ibom,Oron,Ado-Ibrahim Abdulmalik,YPP,
1133,Akwa Ibom,Oron,Nwanyanwu Daniel Daberechukwu,ZLP,
1134,Akwa Ibom,Oruk Anam,Tinubu Bola Ahmed,APC,
1135,Akwa Ibom,Oruk Anam,Abubakar Atiku,PDP,
1136,Akwa Ibom,Oruk Anam,Obi Peter Gregory,LP,
1137,Akwa Ibom,Oruk Anam,Musa Mohammed Rabiu Kwankwaso,NNPP,
1138,Akwa Ibom,Oruk Anam,Kachikwu Dumebi,ADC,
1139,Akwa Ibom,Oruk Anam,Umeadi Peter Nnanna Chukwudi,APGA,
1140,Akwa Ibom,Oruk Anam,Sani Yabagi Yusuf,ADP,
1141,Akwa Ibom,Oruk Anam,Imumolen Irene Christopher,A,
1142,Akwa Ibom,Oruk Anam,Almustapha Hamza,AA,
1143,Akwa Ibom,Oruk Anam,Sowore Omoyele Stephen,AAC,
1144,Akwa Ibom,Oruk Anam,Ojei Princess Chichi,APM,
1145,Akwa Ibom,Oruk Anam,Nnadi Charles Osita,APP,
1146,Akwa Ibom,Oruk Anam,Adenuga Sunday Oluwafemi,BP,
1147,Akwa Ibom,Oruk Anam,Osakwe Felix Johnson,NRM,
1148,Akwa Ibom,Oruk Anam,Abiola Latifu Kolawole,PRP,
1149,Akwa Ibom,Oruk Anam,Adebayo Adewole Ebenezer,SDP,
1150,Akwa Ibom,Oruk Anam,Ado-Ibrahim Abdulmalik,YPP,
1151,Akwa Ibom,Oruk Anam,Nwanyanwu Daniel Daberechukwu,ZLP,
1152,Akwa Ibom,Udung Uko,Tinubu Bola Ahmed,APC,1555
1153,Akwa Ibom,Udung Uko,Abubakar Atiku,PDP,2701
1154,Akwa Ibom,Udung Uko,Obi Peter Gregory,LP,1068
1155,Akwa Ibom,Udung Uko,Musa Mohammed Rabiu Kwankwaso,NNPP,
1156,Akwa Ibom,Udung Uko,Kachikwu Dumebi,ADC,
1157,Akwa Ibom,Udung Uko,Umeadi Peter Nnanna Chukwudi,APGA,
1158,Akwa Ibom,Udung Uko,Sani Yabagi Yusuf,ADP,
1159,Akwa Ibom,Udung Uko,Imumolen Irene Christopher,A,
1160,Akwa Ibom,Udung Uko,Almustapha Hamza,AA,
1161,Akwa Ibom,Udung Uko,Sowore Omoyele Stephen,AAC,
1162,Akwa Ibom,Udung Uko,Ojei Princess Chichi,APM,
1163,Akwa Ibom,Udung Uko,Nnadi Charles Osita,APP,
1164,Akwa Ibom,Udung Uko,Adenuga Sunday Oluwafemi,BP,
1165,Akwa Ibom,Udung Uko,Osakwe Felix Johnson,NRM,
1166,Akwa Ibom,Udung Uko,Abiola Latifu Kolawole,PRP,
1167,Akwa Ibom,Udung Uko,Adebayo Adewole Ebenezer,SDP,
1168,Akwa Ibom,Udung Uko,Ado-Ibrahim Abdulmalik,YPP,
1169,Akwa Ibom,Udung Uko,Nwanyanwu Daniel Daberechukwu,ZLP,
1170,Akwa Ibom,Ukanafun,Tinubu Bola Ahmed,APC,
1171,Akwa Ibom,Ukanafun,Abubakar Atiku,PDP,
1172,Akwa Ibom,Ukanafun,Obi Peter Gregory,LP,
1173,Akwa Ibom,Ukanafun,Musa Mohammed Rabiu Kwankwaso,NNPP,
1174,Akwa Ibom,Ukanafun,Kachikwu Dumebi,ADC,
1175,Akwa Ibom,Ukanafun,Umeadi Peter Nnanna Chukwudi,APGA,
1176,Akwa Ibom,Ukanafun,Sani Yabagi Yusuf,ADP,
1177,Akwa Ibom,Ukanafun,Imumolen Irene Christopher,A,
1178,Akwa Ibom,Ukanafun,Almustapha Hamza,AA,
1179,Akwa Ibom,Ukanafun,Sowore Omoyele Stephen,AAC,
1180,Akwa Ibom,Ukanafun,Ojei Princess Chichi,APM,
1181,Akwa Ibom,Ukanafun,Nnadi Charles Osita,APP,
1182,Akwa Ibom,Ukanafun,Adenuga Sunday Oluwafemi,BP,
1183,Akwa Ibom,Ukanafun,Osakwe Felix Johnson,NRM,
1184,Akwa Ibom,Ukanafun,Abiola Latifu Kolawole,PRP,
1185,Akwa Ibom,Ukanafun,Adebayo Adewole Ebenezer,SDP,
1186,Akwa Ibom,Ukanafun,Ado-Ibrahim Abdulmalik,YPP,
1187,Akwa Ibom,Ukanafun,Nwanyanwu Daniel Daberechukwu,ZLP,
1188,Akwa Ibom,Uruan,Tinubu Bola Ahmed,APC,5287
1189,Akwa Ibom,Uruan,Abubakar Atiku,PDP,9327
1190,Akwa Ibom,Uruan,Obi Peter Gregory,LP,3024
1191,Akwa Ibom,Uruan,Musa Mohammed Rabiu Kwankwaso,NNPP,
1192,Akwa Ibom,Uruan,Kachikwu Dumebi,ADC,
1193,Akwa Ibom,Uruan,Umeadi Peter Nnanna Chukwudi,APGA,
1194,Akwa Ibom,Uruan,Sani Yabagi Yusuf,ADP,
1195,Akwa Ibom,Uruan,Imumolen Irene Christopher,A,
1196,Akwa Ibom,Uruan,Almustapha Hamza,AA,
1197,Akwa Ibom,Uruan,Sowore Omoyele Stephen,AAC,
1198,Akwa Ibom,Uruan,Ojei Princess Chichi,APM,
1199,Akwa Ibom,Uruan,Nnadi Charles Osita,APP,
1200,Akwa Ibom,Uruan,Adenuga Sunday Oluwafemi,BP,
1201,Akwa Ibom,Uruan,Osakwe Felix Johnson,NRM,
1202,Akwa Ibom,Uruan,Abiola Latifu Kolawole,PRP,
1203,Akwa Ibom,Uruan,Adebayo Adewole Ebenezer,SDP,
1204,Akwa Ibom,Uruan,Ado-Ibrahim Abdulmalik,YPP,1621
1205,Akwa Ibom,Uruan,Nwanyanwu Daniel Daberechukwu,ZLP,
1206,Akwa Ibom,Urue Offong/oruko,Tinubu Bola Ahmed,APC,3697
1207,Akwa Ibom,Urue Offong/oruko,Abubakar Atiku,PDP,3419
1208,Akwa Ibom,Urue Offong/oruko,Obi Peter Gregory,LP,2010
1209,Akwa Ibom,Urue Offong/oruko,Musa Mohammed Rabiu Kwankwaso,NNPP,
1210,Akwa Ibom,Urue Offong/oruko,Kachikwu Dumebi,ADC,
1211,Akwa Ibom,Urue Offong/oruko,Umeadi Peter Nnanna Chukwudi,APGA,
1212,Akwa Ibom,Urue Offong/oruko,Sani Yabagi Yusuf,ADP,
1213,Akwa Ibom,Urue Offong/oruko,Imumolen Irene Christopher,A,
1214,Akwa Ibom,Urue Offong/oruko,Almustapha Hamza,AA,
1215,Akwa Ibom,Urue Offong/oruko,Sowore Omoyele Stephen,AAC,
1216,Akwa Ibom,Urue Offong/oruko,Ojei Princess Chichi,APM,
1217,Akwa Ibom,Urue Offong/oruko,Nnadi Charles Osita,APP,
1218,Akwa Ibom,Urue Offong/oruko,Adenuga Sunday Oluwafemi,BP,
1219,Akwa Ibom,Urue Offong/oruko,Osakwe Felix Johnson,NRM,
1220,Akwa Ibom,Urue Offong/oruko,Abiola Latifu Kolawole,PRP,
1221,Akwa Ibom,Urue Offong/oruko,Adebayo Adewole Ebenezer,SDP,
1222,Akwa Ibom,Urue Offong/oruko,Ado-Ibrahim Abdulmalik,YPP,
1223,Akwa Ibom,Urue Offong/oruko,Nwanyanwu Daniel Daberechukwu,ZLP,
1224,Akwa Ibom,Uyo,Tinubu Bola Ahmed,APC,
1225,Akwa Ibom,Uyo,Abubakar Atiku,PDP,
1226,Akwa Ibom,Uyo,Obi Peter Gregory,LP,
1227,Akwa Ibom,Uyo,Musa Mohammed Rabiu Kwankwaso,NNPP,
1228,Akwa Ibom,Uyo,Kachikwu Dumebi,ADC,
1229,Akwa Ibom,Uyo,Umeadi Peter Nnanna Chukwudi,APGA,
1230,Akwa Ibom,Uyo,Sani Yabagi Yusuf,ADP,
1231,Akwa Ibom,Uyo,Imumolen Irene Christopher,A,
1232,Akwa Ibom,Uyo,Almustapha Hamza,AA,
1233,Akwa Ibom,Uyo,Sowore Omoyele Stephen,AAC,
1234,Akwa Ibom,Uyo,Ojei Princess Chichi,APM,
1235,Akwa Ibom,Uyo,Nnadi Charles Osita,APP,
1236,Akwa Ibom,Uyo,Adenuga Sunday Oluwafemi,BP,
1237,Akwa Ibom,Uyo,Osakwe Felix Johnson,NRM,
1238,Akwa Ibom,Uyo,Abiola Latifu Kolawole,PRP,
1239,Akwa Ibom,Uyo,Adebayo Adewole Ebenezer,SDP,
1240,Akwa Ibom,Uyo,Ado-Ibrahim Abdulmalik,YPP,
1241,Akwa Ibom,Uyo,Nwanyanwu Daniel Daberechukwu,ZLP,
1242,Anambra,Aguata,Tinubu Bola Ahmed,APC,291
1243,Anambra,Aguata,Abubakar Atiku,PDP,484
1244,Anambra,Aguata,Obi Peter Gregory,LP,37478
1245,Anambra,Aguata,Musa Mohammed Rabiu Kwankwaso,NNPP,207
1246,Anambra,Aguata,Kachikwu Dumebi,ADC,12
1247,Anambra,Aguata,Umeadi Peter Nnanna Chukwudi,APGA,712
1248,Anambra,Aguata,Sani Yabagi Yusuf,ADP,19
1249,Anambra,Aguata,Imumolen Irene Christopher,A,21
1250,Anambra,Aguata,Almustapha Hamza,AA,5
1251,Anambra,Aguata,Sowore Omoyele Stephen,AAC,14
1252,Anambra,Aguata,Ojei Princess Chichi,APM,37
1253,Anambra,Aguata,Nnadi Charles Osita,APP,14
1254,Anambra,Aguata,Adenuga Sunday Oluwafemi,BP,40
1255,Anambra,Aguata,Osakwe Felix Johnson,NRM,13
1256,Anambra,Aguata,Abiola Latifu Kolawole,PRP,6
1257,Anambra,Aguata,Adebayo Adewole Ebenezer,SDP,11
1258,Anambra,Aguata,Ado-Ibrahim Abdulmalik,YPP,198
1259,Anambra,Aguata,Nwanyanwu Daniel Daberechukwu,ZLP,146
1260,Anambra,Ayamelum,Tinubu Bola Ahmed,APC,145
1261,Anambra,Ayamelum,Abubakar Atiku,PDP,405
1262,Anambra,Ayamelum,Obi Peter Gregory,LP,17032
1263,Anambra,Ayamelum,Musa Mohammed Rabiu Kwankwaso,NNPP,21
1264,Anambra,Ayamelum,Kachikwu Dumebi,ADC,
1265,Anambra,Ayamelum,Umeadi Peter Nnanna Chukwudi,APGA,245
1266,Anambra,Ayamelum,Sani Yabagi Yusuf,ADP,1
1267,Anambra,Ayamelum,Imumolen Irene Christopher,A,4
1268,Anambra,Ayamelum,Almustapha Hamza,AA,1
1269,Anambra,Ayamelum,Sowore Omoyele Stephen,AAC,1
1270,Anambra,Ayamelum,Ojei Princess Chichi,APM,1
1271,Anambra,Ayamelum,Nnadi Charles Osita,APP,
1272,Anambra,Ayamelum,Adenuga Sunday Oluwafemi,BP,5
1273,Anambra,Ayamelum,Osakwe Felix Johnson,NRM,3
1274,Anambra,Ayamelum,Abiola Latifu Kolawole,PRP,1
1275,Anambra,Ayamelum,Adebayo Adewole Ebenezer,SDP,2
1276,Anambra,Ayamelum,Ado-Ibrahim Abdulmalik,YPP,101
1277,Anambra,Ayamelum,Nwanyanwu Daniel Daberechukwu,ZLP,9
1278,Anambra,Anambra East,Tinubu Bola Ahmed,APC,433
1279,Anambra,Anambra East,Abubakar Atiku,PDP,350
1280,Anambra,Anambra East,Obi Peter Gregory,LP,20755
1281,Anambra,Anambra East,Musa Mohammed Rabiu Kwankwaso,NNPP,75
1282,Anambra,Anambra East,Kachikwu Dumebi,ADC,10
1283,Anambra,Anambra East,Umeadi Peter Nnanna Chukwudi,APGA,489
1284,Anambra,Anambra East,Sani Yabagi Yusuf,ADP,19
1285,Anambra,Anambra East,Imumolen Irene Christopher,A,13
1286,Anambra,Anambra East,Almustapha Hamza,AA,2
1287,Anambra,Anambra East,Sowore Omoyele Stephen,AAC,6
1288,Anambra,Anambra East,Ojei Princess Chichi,APM,14
1289,Anambra,Anambra East,Nnadi Charles Osita,APP,10
1290,Anambra,Anambra East,Adenuga Sunday Oluwafemi,BP,29
1291,Anambra,Anambra East,Osakwe Felix Johnson,NRM,
1292,Anambra,Anambra East,Abiola Latifu Kolawole,PRP,1
1293,Anambra,Anambra East,Adebayo Adewole Ebenezer,SDP,5
1294,Anambra,Anambra East,Ado-Ibrahim Abdulmalik,YPP,12
1295,Anambra,Anambra East,Nwanyanwu Daniel Daberechukwu,ZLP,42
1296,Anambra,Anambra West,Tinubu Bola Ahmed,APC,360
1297,Anambra,Anambra West,Abubakar Atiku,PDP,226
1298,Anambra,Anambra West,Obi Peter Gregory,LP,12400
1299,Anambra,Anambra West,Musa Mohammed Rabiu Kwankwaso,NNPP,37
1300,Anambra,Anambra West,Kachikwu Dumebi,ADC,3
1301,Anambra,Anambra West,Umeadi Peter Nnanna Chukwudi,APGA,357
1302,Anambra,Anambra West,Sani Yabagi Yusuf,ADP,1
1303,Anambra,Anambra West,Imumolen Irene Christopher,A,4
1304,Anambra,Anambra West,Almustapha Hamza,AA,
1305,Anambra,Anambra West,Sowore Omoyele Stephen,AAC,3
1306,Anambra,Anambra West,Ojei Princess Chichi,APM,13
1307,Anambra,Anambra West,Nnadi Charles Osita,APP,7
1308,Anambra,Anambra West,Adenuga Sunday Oluwafemi,BP,14
1309,Anambra,Anambra West,Osakwe Felix Johnson,NRM,1
1310,Anambra,Anambra West,Abiola Latifu Kolawole,PRP,4
1311,Anambra,Anambra West,Adebayo Adewole Ebenezer,SDP,
1312,Anambra,Anambra West,Ado-Ibrahim Abdulmalik,YPP,5
1313,Anambra,Anambra West,Nwanyanwu Daniel Daberechukwu,ZLP,11
1314,Anambra,Anaocha,Tinubu Bola Ahmed,APC,178
1315,Anambra,Anaocha,Abubakar Atiku,PDP,584
1316,Anambra,Anaocha,Obi Peter Gregory,LP,33695
1317,Anambra,Anaocha,Musa Mohammed Rabiu Kwankwaso,NNPP,151
1318,Anambra,Anaocha,Kachikwu Dumebi,ADC,23
1319,Anambra,Anaocha,Umeadi Peter Nnanna Chukwudi,APGA,468
1320,Anambra,Anaocha,Sani Yabagi Yusuf,ADP,30
1321,Anambra,Anaocha,Imumolen Irene Christopher,A,24
1322,Anambra,Anaocha,Almustapha Hamza,AA,5
1323,Anambra,Anaocha,Sowore Omoyele Stephen,AAC,7
1324,Anambra,Anaocha,Ojei Princess Chichi,APM,33
1325,Anambra,Anaocha,Nnadi Charles Osita,APP,11
1326,Anambra,Anaocha,Adenuga Sunday Oluwafemi,BP,25
1327,Anambra,Anaocha,Osakwe Felix Johnson,NRM,4
1328,Anambra,Anaocha,Abiola Latifu Kolawole,PRP,5
1329,Anambra,Anaocha,Adebayo Adewole Ebenezer,SDP,3
1330,Anambra,Anaocha,Ado-Ibrahim Abdulmalik,YPP,78
1331,Anambra,Anaocha,Nwanyanwu Daniel Daberechukwu,ZLP,148
1332,Anambra,Awka North,Tinubu Bola Ahmed,APC,118
1333,Anambra,Awka North,Abubakar Atiku,PDP,454
1334,Anambra,Awka North,Obi Peter Gregory,LP,15561
1335,Anambra,Awka North,Musa Mohammed Rabiu Kwankwaso,NNPP,57
1336,Anambra,Awka North,Kachikwu Dumebi,ADC,1
1337,Anambra,Awka North,Umeadi Peter Nnanna Chukwudi,APGA,526
1338,Anambra,Awka North,Sani Yabagi Yusuf,ADP,3
1339,Anambra,Awka North,Imumolen Irene Christopher,A,18
1340,Anambra,Awka North,Almustapha Hamza,AA,31
1341,Anambra,Awka North,Sowore Omoyele Stephen,AAC,3
1342,Anambra,Awka North,Ojei Princess Chichi,APM,8
1343,Anambra,Awka North,Nnadi Charles Osita,APP,4
1344,Anambra,Awka North,Adenuga Sunday Oluwafemi,BP,11
1345,Anambra,Awka North,Osakwe Felix Johnson,NRM,5
1346,Anambra,Awka North,Abiola Latifu Kolawole,PRP,1
1347,Anambra,Awka North,Adebayo Adewole Ebenezer,SDP,4
1348,Anambra,Awka North,Ado-Ibrahim Abdulmalik,YPP,78
1349,Anambra,Awka North,Nwanyanwu Daniel Daberechukwu,ZLP,36
1350,Anambra,Awka South,Tinubu Bola Ahmed,APC,305
1351,Anambra,Awka South,Abubakar Atiku,PDP,963
1352,Anambra,Awka South,Obi Peter Gregory,LP,56498
1353,Anambra,Awka South,Musa Mohammed Rabiu Kwankwaso,NNPP,133
1354,Anambra,Awka South,Kachikwu Dumebi,ADC,20
1355,Anambra,Awka South,Umeadi Peter Nnanna Chukwudi,APGA,1118
1356,Anambra,Awka South,Sani Yabagi Yusuf,ADP,18
1357,Anambra,Awka South,Imumolen Irene Christopher,A,64
1358,Anambra,Awka South,Almustapha Hamza,AA,4
1359,Anambra,Awka South,Sowore Omoyele Stephen,AAC,9
1360,Anambra,Awka South,Ojei Princess Chichi,APM,26
1361,Anambra,Awka South,Nnadi Charles Osita,APP,9
1362,Anambra,Awka South,Adenuga Sunday Oluwafemi,BP,57
1363,Anambra,Awka South,Osakwe Felix Johnson,NRM,11
1364,Anambra,Awka South,Abiola Latifu Kolawole,PRP,6
1365,Anambra,Awka South,Adebayo Adewole Ebenezer,SDP,11
1366,Anambra,Awka South,Ado-Ibrahim Abdulmalik,YPP,46
1367,Anambra,Awka South,Nwanyanwu Daniel Daberechukwu,ZLP,140
1368,Anambra,Dunukofia,Tinubu Bola Ahmed,APC,222
1369,Anambra,Dunukofia,Abubakar Atiku,PDP,428
1370,Anambra,Dunukofia,Obi Peter Gregory,LP,18715
1371,Anambra,Dunukofia,Musa Mohammed Rabiu Kwankwaso,NNPP,52
1372,Anambra,Dunukofia,Kachikwu Dumebi,ADC,8
1373,Anambra,Dunukofia,Umeadi Peter Nnanna Chukwudi,APGA,290
1374,Anambra,Dunukofia,Sani Yabagi Yusuf,ADP,4
1375,Anambra,Dunukofia,Imumolen Irene Christopher,A,9
1376,Anambra,Dunukofia,Almustapha Hamza,AA,3
1377,Anambra,Dunukofia,Sowore Omoyele Stephen,AAC,4
1378,Anambra,Dunukofia,Ojei Princess Chichi,APM,6
1379,Anambra,Dunukofia,Nnadi Charles Osita,APP,1
1380,Anambra,Dunukofia,Adenuga Sunday Oluwafemi,BP,9
1381,Anambra,Dunukofia,Osakwe Felix Johnson,NRM,3
1382,Anambra,Dunukofia,Abiola Latifu Kolawole,PRP,
1383,Anambra,Dunukofia,Adebayo Adewole Ebenezer,SDP,2
1384,Anambra,Dunukofia,Ado-Ibrahim Abdulmalik,YPP,56
1385,Anambra,Dunukofia,Nwanyanwu Daniel Daberechukwu,ZLP,56
1386,Anambra,Ekwusigo,Tinubu Bola Ahmed,APC,159
1387,Anambra,Ekwusigo,Abubakar Atiku,PDP,362
1388,Anambra,Ekwusigo,Obi Peter Gregory,LP,21498
1389,Anambra,Ekwusigo,Musa Mohammed Rabiu Kwankwaso,NNPP,47
1390,Anambra,Ekwusigo,Kachikwu Dumebi,ADC,
1391,Anambra,Ekwusigo,Umeadi Peter Nnanna Chukwudi,APGA,
1392,Anambra,Ekwusigo,Sani Yabagi Yusuf,ADP,
1393,Anambra,Ekwusigo,Imumolen Irene Christopher,A,
1394,Anambra,Ekwusigo,Almustapha Hamza,AA,
1395,Anambra,Ekwusigo,Sowore Omoyele Stephen,AAC,
1396,Anambra,Ekwusigo,Ojei Princess Chichi,APM,
1397,Anambra,Ekwusigo,Nnadi Charles Osita,APP,
1398,Anambra,Ekwusigo,Adenuga Sunday Oluwafemi,BP,
1399,Anambra,Ekwusigo,Osakwe Felix Johnson,NRM,
1400,Anambra,Ekwusigo,Abiola Latifu Kolawole,PRP,
1401,Anambra,Ekwusigo,Adebayo Adewole Ebenezer,SDP,
1402,Anambra,Ekwusigo,Ado-Ibrahim Abdulmalik,YPP,
1403,Anambra,Ekwusigo,Nwanyanwu Daniel Daberechukwu,ZLP,
1404,Anambra,Idemili North,Tinubu Bola Ahmed,APC,633
1405,Anambra,Idemili North,Abubakar Atiku,PDP,623
1406,Anambra,Idemili North,Obi Peter Gregory,LP,43835
1407,Anambra,Idemili North,Musa Mohammed Rabiu Kwankwaso,NNPP,195
1408,Anambra,Idemili North,Kachikwu Dumebi,ADC,24
1409,Anambra,Idemili North,Umeadi Peter Nnanna Chukwudi,APGA,297
1410,Anambra,Idemili North,Sani Yabagi Yusuf,ADP,74
1411,Anambra,Idemili North,Imumolen Irene Christopher,A,41
1412,Anambra,Idemili North,Almustapha Hamza,AA,9
1413,Anambra,Idemili North,Sowore Omoyele Stephen,AAC,8
1414,Anambra,Idemili North,Ojei Princess Chichi,APM,26
1415,Anambra,Idemili North,Nnadi Charles Osita,APP,4
1416,Anambra,Idemili North,Adenuga Sunday Oluwafemi,BP,31
1417,Anambra,Idemili North,Osakwe Felix Johnson,NRM,3
1418,Anambra,Idemili North,Abiola Latifu Kolawole,PRP,6
1419,Anambra,Idemili North,Adebayo Adewole Ebenezer,SDP,4
1420,Anambra,Idemili North,Ado-Ibrahim Abdulmalik,YPP,66
1421,Anambra,Idemili North,Nwanyanwu Daniel Daberechukwu,ZLP,105
1422,Anambra,Idemili-south,Tinubu Bola Ahmed,APC,587
1423,Anambra,Idemili-south,Abubakar Atiku,PDP,304
